评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7470892720152888083,"豫杭   果然很开门 
麦子都种上咯[看]",,1,2025-02-13 21:19:24,小明同学,https://www.douyin.com/user/MS4wLjABAAAAZRATgLcONIkqLh3Nh3qGe698TVdVyILai1gwaUbmyzo,dyfaalh23me4,洛阳小伙子,0,安徽
7378166187552064267,杭州真厉害，又是极氪，又是方太，又是阿里巴巴[赞]一个城市没高端产业是不行的。,,15,2024-06-09 00:13:11,你们就偷着乐吧🤔,https://www.douyin.com/user/MS4wLjABAAAABOwsEkAQr6DqKrKDJdz1Rfd68ykjPIF3F_BjRj_3HeQ,,,4,河北
7383978656597852966,南京已经跟上了，杭州不再孤单,,4,2024-06-24 16:08:30,biubiubiubiu！,https://www.douyin.com/user/MS4wLjABAAAAyPqefnE_vd_x2Pi0JC-4xAKWk8x7N8_RWhU81ytpTVQ,87355236702,分享小故事，欢迎爱听故事的家人们常来,0,江苏
7452299841550402354,城市扩张到农村边了吧,,0,2024-12-25 18:49:33,什么都不要说,https://www.douyin.com/user/MS4wLjABAAAADA9fzELqLPrAAun93diC4rVSdqS9e-3calbtCNFM4t0,67317294128,,0,江苏
7430786826695262987,歌词具象化了,"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/268a72f214c84eeab07a13e1e0d402fc~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=Vz1yX%2BpWvhf%2BCsEywTWQWF%2FN2WU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/268a72f214c84eeab07a13e1e0d402fc~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=9kKY2sTppcNFa6J6i1aBVqowMTs%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/268a72f214c84eeab07a13e1e0d402fc~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=kDXFaptgnybhhFKNdl%2BjyOrB95o%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/268a72f214c84eeab07a13e1e0d402fc~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739890800&x-signature=vykbBD4WLe0vlCNuG%2BjqWE%2F2jvY%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085']",1,2024-10-28 19:28:05,丨X丨（十秒视频）,https://www.douyin.com/user/MS4wLjABAAAAWsQDRfptoCWFdPvvr2ybljf_kK7DThIWS9mmBVBN2Nw,dy84709577,"视频也就十几秒。多瞅两眼就看完了。
时间长你也不看，
非专业摄影，都是早年的库存作品。
总有一个是你对眼的。",0,陕西
7459191424798507803,终于到6666了,,0,2025-01-13 08:32:27,无悔,https://www.douyin.com/user/MS4wLjABAAAAZbaepZUiWzIAzUkgQTFlCaLguoJadtUMpJTay4HEZ7Q,,,0,广东
7416374150526419739,袁老，看到了吗，永远没有辜负您的期望！,,0,2024-09-19 23:19:32,你直接给我坐下,https://www.douyin.com/user/MS4wLjABAAAAWxqlQDtmqCnpcQ1RmNWv9yWfqZRTNhtVBMZNLEhL21Q,96535107378,,0,浙江
7384371423969919756,怎么保存视频,,0,2024-06-25 17:32:36,直男房产人,https://www.douyin.com/user/MS4wLjABAAAAoyfbGe3TfKBc0WAEqr0NBMJOT0MZd67rnMh-MtiQrx0,I8096601006,合肥房产王磊，从事房产行业十年。帮数百个家庭安了家，交易额超过十个亿！免费咨询，免费登记房源！新房不收费用，免费接送带看！买卖就要找专业的！,0,安徽
7436206379042849594,还有湖州长东CBD[看],,1,2024-11-12 09:58:50,钱多多,https://www.douyin.com/user/MS4wLjABAAAAISTpZs8FytqF2MAbgsVtLhW-1OnPAwG_9D-4x5zYZJk,,接着奏乐，接着舞,1,浙江
7373727304520303387,这是去年秋天的样子，全部是高粱，两边种了各种鲜花💐把高粱包围起来[赞],"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/9e43cb5511544f2987d0610e9bf5095a~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=ZRfPNGEkAgvwIOu%2F5lg6My1bZVI%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/9e43cb5511544f2987d0610e9bf5095a~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=uMnlNde7sSV5DzZ79UL7zNEtXIA%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/9e43cb5511544f2987d0610e9bf5095a~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739890800&x-signature=6zxUYvLRStak7reuAuCnS3CrqsU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/9e43cb5511544f2987d0610e9bf5095a~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739890800&x-signature=btlGZ6UgRYjfWt04%2FBnJyH9dl9c%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021817560231DAFE9D3598FE0DA085']",10,2024-05-28 01:08:08,拾7,https://www.douyin.com/user/MS4wLjABAAAAjkey_8rgGvSxGe0FuGh4DX3BJIxunS0klT7jbpfQE3vWD0THj9sdhgFnSWyPU5ip,LC276701505,别逛抖音，浪费时间,4,浙江
