评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7372461456702374691,啊？杭州有麦子？[石化]我真是第一次见,,107,2024-05-24 15:15:50,香蕉君倒拔鲁智深,https://www.douyin.com/user/MS4wLjABAAAA57-sDsSD3QXgPDMqhhqo93aE7-ZxnuzJf9ArJrpGIFg,24452391350,,7372416400692855591,7372416400692855591,
7372468958706320179,你真是，以前下沙、围垦，都是,,60,2024-05-24 15:44:57,尚美秀shangmeishow,https://www.douyin.com/user/MS4wLjABAAAAOJH_UfTuM1s0ixvz1u8ISGrwItOWpTu9NMdgkKt0BKQ,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372469233759929088,我台州的 以为小麦黄河以北才有。。[捂脸],,43,2024-05-24 15:46:01,香蕉君倒拔鲁智深,https://www.douyin.com/user/MS4wLjABAAAA57-sDsSD3QXgPDMqhhqo93aE7-ZxnuzJf9ArJrpGIFg,24452391350,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7372469759667520295,有种。只是吃的少，种的不多,,10,2024-05-24 15:48:05,f d,https://www.douyin.com/user/MS4wLjABAAAA2_L3HnIXla4iiSUKCAp4hlO2pq5kUKIS4-pN9W9zKig,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372469755515011840,我们这里每年都种，种一季，几十年了，钱塘区,,15,2024-05-24 15:48:05,不知道,https://www.douyin.com/user/MS4wLjABAAAAuXQBm0a0jO-Go7YEh5FxeoEvXwGM08szpHyjqOhaeII,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372470114622505765,[泪奔]，我爷爷辈当年在围垦地，种西瓜、水稻、麦子、鱼塘，那场景非常壮观，可惜现在都是高楼大厦了[困],,13,2024-05-24 15:49:26,尚美秀shangmeishow,https://www.douyin.com/user/MS4wLjABAAAAOJH_UfTuM1s0ixvz1u8ISGrwItOWpTu9NMdgkKt0BKQ,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372470403706569507,感谢科普[送心],,0,2024-05-24 15:50:34,香蕉君倒拔鲁智深,https://www.douyin.com/user/MS4wLjABAAAA57-sDsSD3QXgPDMqhhqo93aE7-ZxnuzJf9ArJrpGIFg,24452391350,,7372416400692855591,7372469755515011840,不知道
7372474347771429670,现在也多的很，杭州属于杭嘉湖平原地带，浙江只有杭嘉湖地区小麦多,,6,2024-05-24 16:05:55,杭州田润净化设备有限公司,https://www.douyin.com/user/MS4wLjABAAAAJWp5R8nA0pGZMczpDYZhNpsq_gx_1ax8hKJn5H-3Rnw,6336006xnc,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372474844463809315,河南大部分在黄河以南,,9,2024-05-24 16:07:48,夜里的二锅头,https://www.douyin.com/user/MS4wLjABAAAAZLacfmJH_3nyUGz-jReSSSoOpmC2HOLLjQMICotyYj9PnmBq1sny4N6hrMaD5DdV,erguotou6953,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372478829779469068,有啥稀奇的，玉环海上种的都是,,6,2024-05-24 16:23:20,南江,https://www.douyin.com/user/MS4wLjABAAAA0YRXOetzL-hZlTpA0WoxHSpLDtZZuiymuIswPqrUBjA,www6565,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372480678129484563,不建楼浪费了[看],,0,2024-05-24 16:30:28,天空中的星星,https://www.douyin.com/user/MS4wLjABAAAAPEg6FGSd_7FT4D-ifex-PJ55xm5M6tpGV2CUISS2nFS7RgXx73aXMv8x8CTbyNVF,dylbtf9lxm5a,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7372483408448619291,有啊大江东有很大的农场,,0,2024-05-24 16:41:02,相遇$,https://www.douyin.com/user/MS4wLjABAAAA_d42J5ZnIPqM70MvTxojfduena64rvXUU473Ev7vcSM,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372491349067416358,嘉兴 苏州 也有[捂脸][捂脸][捂脸],,4,2024-05-24 17:11:51,不知终日梦为鱼,https://www.douyin.com/user/MS4wLjABAAAA2RWlQ-3SXKPWH3CVpquCLS9_wY07wGbrbht5WRmgwp0,31564002969,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372491468411585280,台州小麦大麦都有，,,0,2024-05-24 17:12:18,东临苍海,https://www.douyin.com/user/MS4wLjABAAAAoOCs-X7qbSlLg2glWc4u3y4pknyP4vtkuuZMjEmczPQ,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372491740203664178,[捂脸][捂脸] 禹杭  豫杭,,2,2024-05-24 17:13:24,不知终日梦为鱼,https://www.douyin.com/user/MS4wLjABAAAA2RWlQ-3SXKPWH3CVpquCLS9_wY07wGbrbht5WRmgwp0,31564002969,,7372416400692855591,7372470114622505765,尚美秀shangmeishow
7372494603045782307,河南人有种麦子的传统,,1,2024-05-24 17:24:29,没底的平底锅,https://www.douyin.com/user/MS4wLjABAAAAd1rVWs6ZVr0eXOg4kGA9dO0IJtGS69bAZTHdsTbsHERdsvIshf4-Kx2jBRNI9pQT,35250917251,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372496260270293771,种高楼大厦比种麦子挣钱，现在你的都是富豪了吧,,0,2024-05-24 17:30:56,旭日,https://www.douyin.com/user/MS4wLjABAAAADMkDbYSA_UiqBYqzpPKzm51FGOu3CILB74lfLpMYQx4,,,7372416400692855591,7372470114622505765,尚美秀shangmeishow
7372499289932776255,[捂脸][捂脸][捂脸]产粮食大省河南，黄河就在河南中间了,,0,2024-05-24 17:42:39,🇨🇳天狼,https://www.douyin.com/user/MS4wLjABAAAAU_YlLU52lFMxMOFWFuCkiooM0eNq1g4AuNzmBz8i39U,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372532818445157147,苏州上海杭州绍兴都种小麦[尬笑],,0,2024-05-24 19:52:46,天平路,https://www.douyin.com/user/MS4wLjABAAAAJPXIg2CsdXzsOHlOfnGryNEqym7l6V5jZ2IeBy71pvc,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372533737539027727,浙里萧山,,0,2024-05-24 19:56:22,似水往昔,https://www.douyin.com/user/MS4wLjABAAAA81UwteY1mXcwa2bh5Jc87t9Fh2QnjSzgdqksMotqSWc,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372539168720732966,杭州余杭中泰这边就有，大把种小麦的,,0,2024-05-24 20:17:23,乐莀,https://www.douyin.com/user/MS4wLjABAAAAFms3YH-uyI7BqsG5iK36_q61xJovkaRahjbcpor10imbjE9ZeCihCUnIOMePa5x_,50822808185,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372541629040755491,成都绕城一圈也种了麦子,,1,2024-05-24 20:26:55,不想上班的人,https://www.douyin.com/user/MS4wLjABAAAAaWMvU6vVr9sHV_ZbdgF8OjVq6wYtKnVHmGpTqQwi1v0,dywvehei4buj,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372548367244755751,你去黄岩鉴洋湖看看也有麦田，收完种水稻[灵机一动],,1,2024-05-24 20:53:04,清哥,https://www.douyin.com/user/MS4wLjABAAAA112r3zJvOQE49vf0RFV5r6q9bNCoVVsARfBAAEWpphY,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372548426825597708,哈哈，你多大啊，我小时候绍兴旱地都种,,0,2024-05-24 20:53:20,一方见地-栽,https://www.douyin.com/user/MS4wLjABAAAA6FJvUO_7TghheUfh2YludeiU-W6iJ7z75Uief0QZY2c,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
