评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7372416400692855591,杭州的浪漫，麦田打卡，今天最后一天了[泣不成声],,1670,2024-05-24 12:21:01,杭州非一线摄影师,https://www.douyin.com/user/MS4wLjABAAAAbCQ4LCOj9dLpeky7qROsOZw0K61MIWdtDTVnWvcBMAC67i-PB9rV8Q1G2tqVdHrJ,,"杭州城市宣传
素材授权
教学：航拍指导、调色剪辑
素材付费使用，请勿搬运商用
光厂🔎杭州非一线摄影师
航拍合作私信，v：ZhangYun50250（一定要备注来意
谢谢关注",179,浙江
7439181415734100770,今年七月份去杭州坐火车的时候给我震惊了，怎么一边是高楼林立的CBD一边是麦子地呢,"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c46c32d6454a44cf915bd6ed9b9e50be~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=2JuapVLl0YDYzDPOPl79X%2BiP%2BE4%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c46c32d6454a44cf915bd6ed9b9e50be~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=gt5odxWIfzdGShhG2L0hOXxSdhA%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c46c32d6454a44cf915bd6ed9b9e50be~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=tT%2Fz9JUrNYP6gGmlY4AIFHrBows%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c46c32d6454a44cf915bd6ed9b9e50be~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739898000&x-signature=eGiAcqnOLw9hm%2Fm4luymChElT8s%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD']",9,2024-11-20 10:23:23,DoneY,https://www.douyin.com/user/MS4wLjABAAAAejs6_n7SEaluCpn2hjDhJ8jalBGbFig9bqaXxRENiTA,Yik.DoneY,关关难过关关过   我的牢底@🌈保持快乐,0,山东
7372773399992632090,用什么语言来描述这一幅图！,"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/95c0e708ccc74d928c1d821de67dd0ff~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=%2FXkq%2Bo%2FrFDb6iKleosExZQBPnHU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/95c0e708ccc74d928c1d821de67dd0ff~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=ncd2cQy%2FeRlK05x78Mudk19HDks%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/95c0e708ccc74d928c1d821de67dd0ff~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=zTK%2F%2BJGP2Xf5tHM6WdomRuWDB44%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/95c0e708ccc74d928c1d821de67dd0ff~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739898000&x-signature=qtRkWopEXu3ZVnhAmGzTuP0RKPQ%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD']",2093,2024-05-25 11:26:20,村里的靓仔,https://www.douyin.com/user/MS4wLjABAAAAp-b4v_d4Y3kV7YQFA21E19uhjTjNI3VcUDv_3sTgGSEVggVJbaBQcQ5ZVReXeDW-,84803831681,全村的希望！,431,河南
7438066278973227812,种地是阿杭最好的选择 这个作风要保持下去,,0,2024-11-17 10:16:04,名城苏苏,https://www.douyin.com/user/MS4wLjABAAAAlyQ0yqNMrN_LOaACyGOUxxYZ6DXk5MCv4BtEAo-sc8g,,,0,江苏
7373133678136312613,@Chill_7 是这个嘛？[看],"['https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/aaae36f74814497e97b87380a4d55f58~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=o%2F7GQY952csBfeOo%2BHzmHUok%2F%2BQ%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/aaae36f74814497e97b87380a4d55f58~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=WTNMUzf%2BFfLVtXQ75ANcTBN8BsI%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/aaae36f74814497e97b87380a4d55f58~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=FzzZIP7EiG6B9LcDerhVx4TNRrc%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/aaae36f74814497e97b87380a4d55f58~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739898000&x-signature=XdOb4X0kBe8vLDmxFMgE70zfnHs%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD']",1,2024-05-26 10:44:25,自律小小匪,https://www.douyin.com/user/MS4wLjABAAAAUdv7v3R81XpHGjCh1iM1jYWmhOgzcC8d0oxHEcJqMms,zlxxf0915,"清则静，静则好，好则康。
心中有党，成绩理想。",0,湖北
7429608079388377865,这么快五个月过去了,,0,2024-10-25 15:13:59,黑人,https://www.douyin.com/user/MS4wLjABAAAAW-t8j31fsbLVceYoe3zJRjABFbv2swkrrQyflFeYt2E,,,0,浙江
7438222861946585906,[捂脸]欲把杭州作汴州,,0,2024-11-17 20:23:39,呵呵呵呵呵呵,https://www.douyin.com/user/MS4wLjABAAAAqaNWEcG5y_tMKs9aC33PzKJYaezLD2ClwVjgrJP_kUg,44261369669,,0,浙江
7372934457517605667,麦田？？？杭州种也是水稻吧,,1,2024-05-25 21:51:20,弓,https://www.douyin.com/user/MS4wLjABAAAAk8dkhpgo9IPQeyb1Vbt9oBzbUt8KsL8ALnwwe2WcVL4,98636191k,,6,河南
7373658960958276367,哪里还有这样的CBD麦田？,,2,2024-05-27 20:42:45,南飞雁M,https://www.douyin.com/user/MS4wLjABAAAAse1fchCKMzgvbtg8TOaIfajAp16Cxojcb2D6djhVBtA,,,5,山东
7372541288568095497,这里北京三环内,"['https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/be3ac990efab4940811bf2d301cfd969~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=G01TU1lZezPLFk2eTnBqhoeuHiU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/be3ac990efab4940811bf2d301cfd969~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=Wwc0fvXIXhq7%2FpZ4c1JZF%2FKdDLs%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/be3ac990efab4940811bf2d301cfd969~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739898000&x-signature=gHu9GG3jhJ1CNsfZhiZVD4pzPMY%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/be3ac990efab4940811bf2d301cfd969~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1739898000&x-signature=dgK2MpKKW1tF2ZcH3sZszsxb%2F40%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=202502181904152924F3B122554816F2FD']",9,2024-05-24 20:25:36,蛋蛋儿爸爸,https://www.douyin.com/user/MS4wLjABAAAAfIdiujLDYWKDylt5l3yHYT0Hlb-J1UmYNW40BAUHHPg,dysoih2nihs7,日行一善,4,北京
